product,complaint_what_happened,date_sent_to_company,issue,sub_product,zip_code,tags,has_narrative,complaint_id,timely,consumer_consent_provided,company_response,submitted_via,company,date_received,state,consumer_disputed,company_public_response,sub_issue
Debt collection,,2024-09-03T12:00:00-05:00,Attempts to collect debt not owed,I do not know,64151,,False,9999959,Yes,,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-03T12:00:00-05:00,MO,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Debt is not yours
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,30339,,False,9999958,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-03T12:00:00-05:00,GA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Information belongs to someone else
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Improper use of your report,Credit reporting,10303,,False,9999955,Yes,Consent not provided,Closed with explanation,Web,OneMain Finance Corporation,2024-09-03T12:00:00-05:00,NY,N/A,,Reporting company used your report improperly
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Problem with a company's investigation into an existing problem,Credit reporting,68134,,False,9999954,Yes,Consent not provided,Closed with non-monetary relief,Web,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2024-09-03T12:00:00-05:00,NE,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Their investigation did not fix an error on your report
Credit reporting or other personal consumer reports,"The late payments showing don't match how I regularly make my payments, so Im asking you to fix these issues and adjust my accounts as soon as possible.",2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,60649,,True,9999953,Yes,Consent provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-03T12:00:00-05:00,IL,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Account status incorrect
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Problem with a company's investigation into an existing problem,Credit reporting,93727,,False,9999951,Yes,Consent not provided,Closed with non-monetary relief,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,CA,N/A,,Their investigation did not fix an error on your report
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Problem with a company's investigation into an existing problem,Credit reporting,93727,,False,9999949,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-03T12:00:00-05:00,CA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Their investigation did not fix an error on your report
Credit reporting or other personal consumer reports,"The reporting of such inaccurate information has caused severe damage to my character, my reputation, my general mode of living and my ability to obtain credit for personal and house purposes. 
This debt collector engaged in abusive, deceptive and unfair practices of the FDCPA which it prohibits. They furnished his account that we didn't agree upon and i didn't sing an agreement on. A legal contract is signed by two parties and i did not participate in any of it. More so they didn't follow the proper 5 step validation procedure which make this unfair practices. according to the FDCPA I'm entitled to XXXX dollars per violation and clearly they violated my rights.",2024-09-01T12:00:00-05:00,Incorrect information on your report,Credit reporting,11385,,True,9999948,Yes,Consent provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,NY,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Information belongs to someone else
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Improper use of your report,Credit reporting,52753,,False,9999947,Yes,Consent not provided,Closed with non-monetary relief,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,IA,N/A,,Reporting company used your report improperly
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,15132,,False,9999946,Yes,Consent not provided,Closed with non-monetary relief,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,PA,N/A,,Information belongs to someone else
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,30339,,False,9999945,Yes,Consent not provided,Closed with non-monetary relief,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,GA,N/A,,Information belongs to someone else
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,15132,,False,9999944,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-03T12:00:00-05:00,PA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Information belongs to someone else
Credit reporting or other personal consumer reports,Recently I looked at a copy of my credit report and noticed several inaccuracies on my account. This account is hurting my ability to obtain credit. It's my understanding that the credit bureaus will investigate this account for me to ensure accuracy Here is the account I am asking you to verify as accurate : account name : XXXX XXXX account number XXXX,2024-09-03T12:00:00-05:00,Problem with a company's investigation into an existing problem,Credit reporting,60426,,True,9999943,Yes,Consent provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-03T12:00:00-05:00,IL,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Their investigation did not fix an error on your report
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Problem with a company's investigation into an existing problem,Credit reporting,32137,,False,9999941,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-03T12:00:00-05:00,FL,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Their investigation did not fix an error on your report
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Problem with a company's investigation into an existing problem,Credit reporting,32137,,False,9999940,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-03T12:00:00-05:00,FL,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Their investigation did not fix an error on your report
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Problem with a company's investigation into an existing problem,Credit reporting,32137,,False,9999939,Yes,Consent not provided,Closed with non-monetary relief,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,FL,N/A,,Their investigation did not fix an error on your report
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,35405,,False,9999938,Yes,Consent not provided,Closed with explanation,Web,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2024-09-03T12:00:00-05:00,AL,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Account status incorrect
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,35405,,False,9999937,Yes,Consent not provided,Closed with explanation,Web,"EQUIFAX, INC.",2024-09-03T12:00:00-05:00,AL,N/A,,Account status incorrect
Credit reporting or other personal consumer reports,,2024-09-03T12:00:00-05:00,Incorrect information on your report,Credit reporting,35405,,False,9999936,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-03T12:00:00-05:00,AL,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Account status incorrect
Credit reporting or other personal consumer reports,,2024-09-01T12:00:00-05:00,Incorrect information on your report,Credit reporting,76179,,False,9999935,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,TX,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Information belongs to someone else
Credit reporting or other personal consumer reports,,2024-09-01T12:00:00-05:00,Incorrect information on your report,Credit reporting,33406,,False,9999934,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,FL,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Account information incorrect
Credit reporting or other personal consumer reports,,2024-09-01T12:00:00-05:00,Improper use of your report,Credit reporting,31533,Servicemember,False,9999933,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,GA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Reporting company used your report improperly
Credit reporting or other personal consumer reports,,2024-09-01T12:00:00-05:00,Incorrect information on your report,Credit reporting,30034,,False,9999932,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,GA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Information belongs to someone else
Debt collection,,2024-09-01T12:00:00-05:00,Attempts to collect debt not owed,Credit card debt,32080,,False,9999931,Yes,Consent not provided,Closed with explanation,Web,ENCORE CAPITAL GROUP INC.,2024-09-01T12:00:00-05:00,FL,N/A,,Debt was result of identity theft
Credit reporting or other personal consumer reports,,2024-09-01T12:00:00-05:00,Improper use of your report,Credit reporting,70094,,False,9999930,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,LA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Credit inquiries on your report that you don't recognize
Credit reporting or other personal consumer reports,,2024-09-01T12:00:00-05:00,Incorrect information on your report,Credit reporting,33428,,False,9999928,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,FL,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Information belongs to someone else
Credit reporting or other personal consumer reports,,2024-09-01T12:00:00-05:00,Problem with a company's investigation into an existing problem,Credit reporting,89086,,False,9999927,Yes,Consent not provided,Closed with non-monetary relief,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,NV,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Their investigation did not fix an error on your report
Debt collection,,2024-08-25T12:00:00-05:00,Written notification about debt,Credit card debt,77373,,False,9999926,Yes,Consent not provided,Closed with explanation,Web,Kikoff Inc.,2024-08-25T12:00:00-05:00,TX,N/A,,Didn't receive enough information to verify debt
Credit reporting or other personal consumer reports,,2024-08-27T12:00:00-05:00,Problem with a company's investigation into an existing problem,Credit reporting,33173,,False,9999925,Yes,Consent not provided,Closed with non-monetary relief,Web,DISCOVER BANK,2024-08-27T12:00:00-05:00,FL,N/A,,Investigation took more than 30 days
Credit reporting or other personal consumer reports,,2024-09-01T12:00:00-05:00,Incorrect information on your report,Credit reporting,19012,,False,9999924,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,PA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Information belongs to someone else
Credit reporting or other personal consumer reports,,2024-09-01T12:00:00-05:00,Problem with a company's investigation into an existing problem,Credit reporting,89086,,False,9999923,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,NV,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Their investigation did not fix an error on your report
Credit reporting or other personal consumer reports,,2024-09-01T12:00:00-05:00,Incorrect information on your report,Credit reporting,19124,,False,9999922,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,PA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Account information incorrect
Credit reporting or other personal consumer reports,,2024-09-02T12:00:00-05:00,Incorrect information on your report,Credit reporting,60649,,False,9999921,Yes,Consent not provided,Closed with non-monetary relief,Web,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2024-09-02T12:00:00-05:00,IL,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Information belongs to someone else
Credit reporting or other personal consumer reports,,2024-09-01T12:00:00-05:00,Incorrect information on your report,Credit reporting,30034,,False,9999920,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,GA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Public record information inaccurate
Credit reporting or other personal consumer reports,,2024-09-02T12:00:00-05:00,Incorrect information on your report,Credit reporting,32832,,False,9999919,Yes,Consent not provided,Closed with non-monetary relief,Web,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",2024-09-02T12:00:00-05:00,FL,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Account status incorrect
Credit reporting or other personal consumer reports,,2024-09-01T12:00:00-05:00,Incorrect information on your report,Credit reporting,33169,,False,9999918,Yes,,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,FL,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Information belongs to someone else
Credit reporting or other personal consumer reports,"I recently received a copy of my credit report, and I noticed some accounts on my consumer report that should not be on there. Please help me to validate the misreporting on my credit report and remove the inaccurate information found in my credit file.",2024-09-01T12:00:00-05:00,Incorrect information on your report,Credit reporting,46226,,True,9999917,Yes,Consent provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,IN,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Information belongs to someone else
Credit reporting or other personal consumer reports,,2024-09-01T12:00:00-05:00,Improper use of your report,Credit reporting,29680,,False,9999916,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,SC,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Reporting company used your report improperly
Credit reporting or other personal consumer reports,"I am XXXX XXXX, and Im submitting this complaint myself and there is no third party involved. I attached letters to let you know more in detail about what they are reporting in my credit report. They reported inaccurate information in my credit report with inconsistent and untimely dates reported across the three Bureaus, XXXX, Experian, and XXXX.",2024-09-01T12:00:00-05:00,Incorrect information on your report,Credit reporting,48219,,True,9999915,Yes,Consent provided,Closed with non-monetary relief,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,MI,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Account information incorrect
Credit reporting or other personal consumer reports,,2024-09-01T12:00:00-05:00,Improper use of your report,Credit reporting,33442,,False,9999914,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,FL,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Reporting company used your report improperly
Credit reporting or other personal consumer reports,,2024-09-01T12:00:00-05:00,Improper use of your report,Credit reporting,33613,,False,9999913,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,FL,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Credit inquiries on your report that you don't recognize
Credit reporting or other personal consumer reports,,2024-09-01T12:00:00-05:00,Improper use of your report,Credit reporting,63043,,False,9999912,Yes,Consent not provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,MO,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Reporting company used your report improperly
Credit reporting or other personal consumer reports,"In accordance with the Fair Credit Reporting act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681. 

XXXX : XXXXXXXX XXXX XXXX : XXXX XXXX XXXX : XXXX XXXX XXXX XXXX XXXX XXXX : XXXX XXXX XXXX XXXX : XXXX XXXX : XXXX XXXX XXXX XXXX : XXXX XXXX  XXXX XXXX XXXX XXXX : XXXX XXXX : XXXX XXXX XXXX XXXX  : XXXXXXXX XXXX XXXX  : XXXX XXXX  XXXX XXXX XXXX XXXX XXXX : XXXX, has violated my rights. 


15 U.S.C 1681 section 602 A. States I have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : It states a consumer reporting agency can not furnish a account without my written instructions.

15 U.S.C 1681c. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years.

15 U.S.C. 1681s-2 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate.",2024-09-01T12:00:00-05:00,Improper use of your report,Credit reporting,08060,,True,9999911,Yes,Consent provided,Closed with explanation,Web,Experian Information Solutions Inc.,2024-09-01T12:00:00-05:00,NJ,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Reporting company used your report improperly
